,book_id,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count
114,2187,Jeffrey Eugenides,2002.0,Middlesex,Middlesex,en-US,3.98,488243
115,24583,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,eng,3.89,555359
116,18131,Madeleine L'Engle,1962.0,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,4.04,615907
117,7763,Amy Tan,1989.0,The Joy Luck Club,The Joy Luck Club,eng,3.9,515090
118,38447,Margaret Atwood,1985.0,The Handmaid's Tale,The Handmaid's Tale,eng,4.06,607889
119,452306,Ann Brashares,2001.0,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,3.75,525706
120,7604,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,Lolita,eng,3.88,469836
121,37442,"Gregory Maguire, Douglas Smith",1995.0,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,3.52,506900
122,5358,John Grisham,1991.0,The Firm,"The Firm (Penguin Readers, Level 5)",eng,3.99,488269
123,7937843,Emma Donoghue,2010.0,Room,Room,eng,4.03,511360
124,1420,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng,4.0,515820
125,234225,Frank Herbert,1965.0,Dune,Dune (Dune Chronicles #1),eng,4.19,485032
126,2612,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504
127,11084145,Walter Isaacson,2011.0,Steve Jobs,Steve Jobs,eng,4.09,560715
128,332613,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,eng,4.18,491642
129,2165,Ernest Hemingway,1952.0,The Old Man and the Sea,The Old Man and the Sea,eng,3.73,520630
130,4395,John Steinbeck,1939.0,The Grapes of Wrath,The Grapes of Wrath,eng,3.92,322321
132,8127,L.M. Montgomery,1908.0,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",eng,4.23,502247
133,3777732,Cassandra Clare,2009.0,City of Glass,"City of Glass (The Mortal Instruments, #3)",en-US,4.34,593173
134,62291,George R.R. Martin,2000.0,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",eng,4.54,469022
135,137791,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79,465676
136,10964,Diana Gabaldon,1991.0,Outlander,"Outlander (Outlander, #1)",eng,4.2,515547
137,12296,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,The Scarlet Letter,eng,3.37,509883
140,18007564,Andy Weir,2012.0,The Martian,The Martian,eng,4.39,423344
141,5043,Ken Follett,1989.0,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng,4.29,462517
143,8664353,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775
144,976,Dan Brown,2001.0,Deception Point,Deception Point,eng,3.67,455610
145,17333223,Donna Tartt,2013.0,The Goldfinch,The Goldfinch,eng,3.87,396756
146,1217100,Jay Asher,2007.0,Thirteen Reasons Why,Thirteen Reasons Why,eng,4.02,463783
147,2865,Tracy Chevalier,1999.0,Girl with a Pearl Earring,Girl with a Pearl Earring,eng,3.85,467577
148,4374400,Gayle Forman,2009.0,If I Stay,"If I Stay (If I Stay, #1)",en-US,3.96,503527
149,4989,Anita Diamant,1997.0,The Red Tent,The Red Tent,en-US,4.16,424981
150,28186,Rick Riordan,2006.0,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,514932
151,5526,Nicholas Sparks,2006.0,Dear John,Dear John,en-US,4.01,441062
152,1582996,Cassandra Clare,2008.0,City of Ashes,"City of Ashes (The Mortal Instruments, #2)",eng,4.21,541117
153,8852,William Shakespeare,1606.0,The Tragedy of Macbeth,Macbeth,eng,3.88,496018
154,15241,J.R.R. Tolkien,1954.0,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",en-US,4.42,480446
155,42156,Emily Giffin,2004.0,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",eng,3.83,403601
156,23772,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,Green Eggs and Ham,en-US,4.29,457475
157,6310,"Roald Dahl, Quentin Blake",1964.0,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,4.1,453959
158,2120932,Rick Riordan,2008.0,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,4.39,508214
159,2623,Charles Dickens,1860.0,Great Expectations,Great Expectations,eng,3.75,459247
160,18512,J.R.R. Tolkien,1955.0,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",en-US,4.51,463959
162,7736182,Rick Riordan,2010.0,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)",eng,4.35,271576
163,15745753,Rainbow Rowell,2013.0,Eleanor & Park,Eleanor & Park,eng,4.11,514312
164,13497,George R.R. Martin,2005.0,A Feast for Crows,"A Feast for Crows (A Song of Ice and Fire, #4)",en-US,4.1,428186
165,7735333,Ally Condie,2010.0,Matched,"Matched (Matched, #1)",eng,3.68,511815
166,4407,Neil Gaiman,2001.0,American Gods,"American Gods (American Gods, #1)",eng,4.11,378019
167,149267,"Stephen King, Bernie Wrightson",1978.0,The Stand,The Stand,en-US,4.34,438832
168,6400090,Nicholas Sparks,2008.0,The Last Song,The Last Song,en-GB,4.14,424637
169,11125,Dan Brown,1998.0,Digital Fortress,Digital Fortress,en-GB,3.6,423019
170,6969,"Jane Austen, Fiona Stafford",1815.0,Emma,Emma,eng,3.99,459826
172,227463,Anthony Burgess,1962.0,A Clockwork Orange,A Clockwork Orange,eng,3.98,431195
173,1812457,William Paul Young,2007.0,The Shack: Where Tragedy Confronts Eternity,The Shack,eng,3.74,419539
174,4502507,Rick Riordan,2009.0,The Last Olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng,4.5,397500
175,18342,Stephen King,1986.0,It,It,en-US,4.18,292592
177,6514,Sylvia Plath,1963.0,The Bell Jar,The Bell Jar,en-US,3.98,401605
178,252577,Frank McCourt,1996.0,Angela's Ashes: A Memoir,"Angela's Ashes (Frank McCourt, #1)",eng,4.07,392103
179,52036,"Hermann Hesse, Hilda Rosner",1922.0,Siddhartha,Siddhartha,eng,3.99,372099
180,168642,Truman Capote,1965.0,In Cold Blood,In Cold Blood,eng,4.05,381652
181,6304335,"Kami Garcia, Margaret Stohl",2009.0,Beautiful Creatures,"Beautiful Creatures (Caster Chronicles, #1)",eng,3.76,436093
182,7171637,Cassandra Clare,2010.0,Clockwork Angel,"Clockwork Angel (The Infernal Devices, #1)",eng,4.33,490890
183,39988,"Roald Dahl, Quentin Blake",1988.0,Matilda,Matilda,eng,4.29,440743
184,9361589,Erin Morgenstern,2011.0,The Night Circus,The Night Circus,eng,4.03,429543
185,37470,Philippa Gregory,2001.0,The Other Boleyn Girl,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng,4.04,381080
186,24770,Scott Westerfeld,2005.0,Uglies,"Uglies (Uglies, #1)",eng,3.86,449073
187,10664113,George R.R. Martin,2011.0,A Dance with Dragons,"A Dance with Dragons (A Song of Ice and Fire, #5)",eng,4.31,365954
188,33,J.R.R. Tolkien,1955.0,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng,4.47,389054
189,12262741,Cheryl Strayed,2012.0,Wild: From Lost to Found on the Pacific Crest Trail ,Wild: From Lost to Found on the Pacific Crest Trail,eng,3.96,379872
190,472331,"Alan Moore, Dave Gibbons, John Higgins",1987.0,Watchmen,Watchmen,en-US,4.35,398018
191,186074,Patrick Rothfuss,2007.0,The Name of the Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",eng,4.55,400101
192,3228917,Malcolm Gladwell,2008.0,Outliers: The Story of Success,Outliers: The Story of Success,en-US,4.11,353011
193,153747,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,"Moby Dick; or, The Whale","Moby-Dick or, The Whale",eng,3.46,358050
194,2728527,"Mary Ann Shaffer, Annie Barrows",2008.0,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,eng,4.12,393626
195,5759,Chuck Palahniuk,1996.0,Fight Club,Fight Club,eng,4.2,365349
196,301082,Charlaine Harris,2001.0,Dead Until Dark,"Dead Until Dark (Sookie Stackhouse, #1)",en-US,3.96,420764
197,11486,Alice Walker,1982.0,The Color Purple,The Color Purple,eng,4.17,376766
198,12691,John Grogan,2005.0,Marley & Me: Life and Love with the World's Worst Dog,Marley and Me: Life and Love With the World's Worst Dog,eng,4.12,367304
199,16299,Agatha Christie,1939.0,Ten Little Niggers,And Then There Were None,eng,4.23,408983
200,6411961,Dan Brown,2009.0,The Lost Symbol,"The Lost Symbol (Robert Langdon, #3)",eng,3.66,369428
201,6339664,Becca Fitzpatrick,2009.0,"Hush, Hush","Hush, Hush (Hush, Hush, #1)",en-US,4.0,448166
202,11505797,Jamie McGuire,2011.0,Beautiful Disaster,"Beautiful Disaster (Beautiful, #1)",eng,4.15,418309
204,43763,Anne Rice,1976.0,Interview with the Vampire,"Interview with the Vampire (The Vampire Chronicles, #1)",eng,3.97,372566
205,10507293,Kiera Cass,2012.0,The Selection,"The Selection (The Selection, #1)",en-US,4.15,505340
206,6853,Janet Evanovich,1994.0,One for the Money,"One for the Money (Stephanie Plum, #1)",en-US,4.03,391007
207,6493208,Rebecca Skloot,2010.0,The Immortal Life of Henrietta Lacks,The Immortal Life of Henrietta Lacks,eng,4.04,377249
208,23807,Thomas Harris,1988.0,The Silence of the Lambs,"The Silence of the Lambs  (Hannibal Lecter, #2)",eng,4.14,351107
210,40102,Malcolm Gladwell,2005.0,Blink: The Power of Thinking Without Thinking,Blink: The Power of Thinking Without Thinking,en-US,3.89,348196
211,6867,Ian McEwan,2001.0,Atonement,Atonement,eng,3.88,347006
212,485894,"Franz Kafka, Stanley Corngold",1915.0,Die Verwandlung,The Metamorphosis,eng,3.78,364933
213,561456,Rick Riordan,2007.0,The Titan's Curse,"The Titan's Curse (Percy Jackson and the Olympians, #3)",eng,4.33,446668
215,3153910,Garth Stein,2006.0,The Art of Racing in the Rain,The Art of Racing in the Rain,eng,4.19,327409
216,21996,"Erik Larson, Tony Goldwyn",2003.0,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",eng,3.98,309385
217,13572249,Sylvia Day,2012.0,Bared to You,"Bared to You (Crossfire, #1)",eng,4.19,222678
218,11127,"C.S. Lewis, Pauline Baynes",1956.0,The Chronicles of Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",eng,4.24,376385
220,60748,Dave Pelzer,1995.0,"A Child Called ""It"": One Child's Courage to Survive","A Child Called ""It"" (Dave Pelzer #1)",eng,4.08,311543
221,7869,Robert Ludlum,1980.0,The Bourne Identity,"The Bourne Identity (Jason Bourne, #1)",eng,3.98,327122
222,249747,Eoin Colfer,2001.0,Artemis Fowl,"Artemis Fowl (Artemis Fowl, #1)",eng,3.82,386923
223,6487308,Lauren Kate,2009.0,Fallen,"Fallen (Fallen, #1)",en-US,3.74,395296
224,4406,John Steinbeck,1952.0,East of Eden  ,East of Eden,eng,4.35,320919
225,5886881,Gillian Flynn,2009.0,Dark Places,Dark Places,eng,3.92,333452
226,5359,John Grisham,1993.0,The Client,The Client,eng,3.97,320083
227,228333,"Emma McLaughlin, Nicola Kraus",2002.0,The Nanny Diaries,"The Nanny Diaries (Nanny, #1)",eng,3.4,323762
228,24213,"Lewis Carroll, John Tenniel, Martin Gardner",1865.0,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland & Through the Looking-Glass,eng,4.06,340920
229,2156,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0,Persuasion,Persuasion,eng,4.13,365425
230,556602,Tatiana de Rosnay,2007.0,Elle s'appelait Sarah,Sarah's Key,eng,4.14,312444
231,43615,Stephen King,1982.0,The Gunslinger,"The Gunslinger (The Dark Tower, #1)",en-US,3.99,332494
233,439288,Laurie Halse Anderson,1999.0,Speak,Speak,eng,4.0,360156
234,17802724,Liane Moriarty,2013.0,The Husband's Secret ,The Husband's Secret,eng,3.92,232106
235,1898,Jon Krakauer,1997.0,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Into Thin Air: A Personal Account of the Mount Everest Disaster,en-US,4.11,291258
237,242006,Augusten Burroughs,2002.0,Running with Scissors,Running with Scissors,en-US,3.7,293878
238,8908,Max Brooks,2006.0,World War Z: An Oral History of the Zombie War,World War Z: An Oral History of the Zombie War,en-US,4.01,312969
239,17212231,Dan Brown,2013.0,Inferno,"Inferno (Robert Langdon, #4)",eng,3.8,287533
240,47281,Lois Lowry,1989.0,Number the Stars,Number the Stars,eng,4.11,333638
241,13145,James Patterson,1993.0,Along Came a Spider,"Along Came a Spider (Alex Cross, #1)",eng,4.08,311499
242,10614,Stephen King,1987.0,Misery,Misery,en-GB,4.11,334647
243,66559,Gillian Flynn,2006.0,Sharp Objects,Sharp Objects,en-US,3.92,207889
244,2839,Katherine Paterson,1977.0,Bridge to Terabithia,Bridge to Terabithia,eng,3.98,337644
245,30183,"P.C. Cast, Kristin Cast",2007.0,Marked,"Marked (House of Night, #1)",en-US,3.79,360044
246,36072,Stephen R. Covey,1989.0,The 7 Habits of Highly Effective People,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,en-US,4.05,314700
247,1622,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0,A Midsummer Night's Dream,A Midsummer Night's Dream,eng,3.94,334241
248,4588,Jonathan Safran Foer,2005.0,Extremely Loud and Incredibly Close,Extremely Loud and Incredibly Close,en-US,3.97,294726
249,11387515,R.J. Palacio,2012.0,Wonder,Wonder,eng,4.43,228538
250,233093,Dr. Seuss,1957.0,The Cat in the Hat,The Cat in the Hat,eng,4.15,314016
251,11235712,Marissa Meyer,2012.0,Cinder,"Cinder (The Lunar Chronicles, #1)",eng,4.15,427663
252,16160797,"Robert Galbraith, J.K. Rowling",2013.0,The Cuckoo's Calling,"The Cuckoo's Calling (Cormoran Strike, #1)",en-US,3.83,297712
253,6068551,Maggie Stiefvater,2009.0,Shiver,"Shiver (The Wolves of Mercy Falls, #1)",eng,3.78,356625
254,662,"Ayn Rand, Leonard Peikoff",1957.0,Atlas Shrugged,Atlas Shrugged,eng,3.68,283295
